Ma(hex),MacroID,Ten ngan,Mo ta,Vao,Ra,Param,Obsolete,Nhom
0062,AND7_1,7AND(1),AND - 7-input (obs),7,1,0,x,Logic
0066,OR7_1,7OR(1),OR - 7-input (obs),7,1,0,x,Logic
0063,AND8_1,8AND(1),AND - 8-input (obs),8,1,0,x,Logic
0067,OR8_1,8OR(1),OR - 8-input (obs),8,1,0,x,Logic
4000,AND2_I,AND2,AND - 2-input,2,1,0,,Logic
4130,AND2E_I,AND2,AND - 2-input(Variable - input type),2,1,0,,Logic
4001,AND3_I,AND3,AND - 3-input,3,1,0,,Logic
4131,AND3E_I,AND3,AND - 3-input(Variable - input type),3,1,0,,Logic
4002,AND4_I,AND4,AND - 4-input,4,1,0,,Logic
4132,AND4E_I,AND4,AND - 4-input(Variable - input type),4,1,0,,Logic
4003,AND5_I,AND5,AND - 5-input,5,1,0,,Logic
4133,AND5E_I,AND5,AND - 5-input(Variable - input type),5,1,0,,Logic
4004,AND6_I,AND6,AND - 6-input,6,1,0,,Logic
4134,AND6E_I,AND6,AND - 6-input(Variable - input type),6,1,0,,Logic
4005,AND7_I,AND7,AND - 7-input,7,1,0,,Logic
4135,AND7E_I,AND7,AND - 7-input(Variable - input type),7,1,0,,Logic
4006,AND8_I,AND8,AND - 8-input,8,1,0,,Logic
4136,AND8E_I,AND8,AND - 8-input(Variable - input type),8,1,0,,Logic
20A0,ANN_TS,ANN,ANN - Annunciator (obs),5,5,0,x,Logic
004E,DB_T,DEAD-BAND,DB - Dead Band (obs),1,1,1,x,Logic
100C,DBZ_TS,DEAD-BAND-ZONE,DBZ - Dead Band (Jump Type) (obs),1,1,1,x,Logic
4065,F_DBA1_I,DEADBAND1,DB - Dead Band,1,1,3,,Logic
4066,F_DBA2_I,DEADBAND2,DBZ - Dead Band (Jump Type),1,1,3,,Logic
40D0,40D0_I,ENTRY,Entry,0,0,0,,Logic
2002,ENT_TS,ENT_TS,ENTRY - Entry,0,0,0,,Logic
40E8,F_40E8_I,EUIN,EU CONVERSION for Input,0,0,54,,Logic
40E9,F_40E9_I,EUOUT,EU CONVERSION for Output,0,0,53,,Logic
003F,XO_T,EXCLUSIVE-OR,XO - Exclusive OR (obs),2,1,0,x,Logic
003E,FF_T,FLIP-FLOP,FF - Flip Flop (obs),2,1,0,x,Logic
4118,F_4118_I,MLS-X&Y,Method of Least Squares(Two inputs:X and Y),6,9,3,,Logic
4010,NOT_I,NOT,NOT - Logical NOT,1,1,0,,Logic
0039,NOT_T,NOT,NOT - Logical NOT (obs),1,1,0,x,Logic
4007,OR2_I,OR2,OR - 2-input,2,1,0,,Logic
4137,OR2E_I,OR2,OR - 2-input(Variable - input type),2,1,0,,Logic
4008,OR3_I,OR3,OR - 3-input,3,1,0,,Logic
4138,OR3E_I,OR3,OR - 3-input(Variable - input type),3,1,0,,Logic
4009,OR4_I,OR4,OR - 4-input,4,1,0,,Logic
4139,OR4E_I,OR4,OR - 4-input(Variable - input type),4,1,0,,Logic
400A,OR5_I,OR5,OR - 5-input,5,1,0,,Logic
413A,OR5E_I,OR5,OR - 5-input(Variable - input type),5,1,0,,Logic
400B,OR6_I,OR6,OR - 6-input,6,1,0,,Logic
413B,OR6E_I,OR6,OR - 6-input(Variable - input type),6,1,0,,Logic
400C,OR7_I,OR7,OR - 7-input,7,1,0,,Logic
413C,OR7E_I,OR7,OR - 7-input(Variable - input type),7,1,0,,Logic
400D,OR8_I,OR8,OR - 8-input,8,1,0,,Logic
413D,OR8E_I,OR8,OR - 8-input(Variable - input type),8,1,0,,Logic
0056,PIF_T,PIF,PIF - P and I with Forward Signal (obs),4,1,4,x,Logic
40F7,40F7_I,RESTART,RESTART,2,1,0,,Logic
4120,4120_I,Reset,Reset,1,0,0,,Logic
404E,SHI1_I,SIGHI1,H/ - Signal Monitor (High) (S & R:para),1,1,4,,Logic
404F,SHI2_I,SIGHI2,H/ - Signal Monitor (High) (S & R:input),3,1,1,,Logic
4050,SLO1_I,SIGLOW1,/L - Signal Monitor (Low) (S & R:para),1,1,4,,Logic
4051,SLO2_I,SIGLOW2,/L - Signal Monitor (Low) (S & R:input),3,1,1,,Logic
0057,SG_T,SIGNAL-GENERATE,SG - Signal Generator (obs),0,1,1,x,Logic
400F,XOR_I,XOR,XOR - Exclusive OR,2,1,0,,Logic
40B4,1SH1_I,1SH1,1SS(ON) - One Scan Shot (On Trigger),1,1,0,,Timer/Counter
40B5,1SH2_I,1SH2,1SS(OFF) - One Scan Shot (Off Trigger),1,1,0,,Timer/Counter
40C7,40C7_I,40C7,Counter1,2,1,3,,Timer/Counter
40C8,40C8_I,40C8,Counter2,2,1,2,,Timer/Counter
20FF,F_4AD1_TS,4AD1,4 Adder(1)(for HCNT),4,1,0,,Timer/Counter
2100,F_4AD2_TS,4AD2,4 Adder(2)(for HCNT),4,1,0,,Timer/Counter
2101,F_4AD3_TS,4AD3,4 Adder(3)(for HCNT),4,1,0,,Timer/Counter
2102,F_4AD4_TS,4AD4,4 Adder(4)(for HCNT),4,1,0,,Timer/Counter
5032,F_5032_I,5032,On Delay Timer,2,1,0,,Timer/Counter
5033,F_5033_I,5033,Off Delay Timer,2,1,0,,Timer/Counter
5034,F_5034_I,5034,One Shot Timer 1,2,1,0,,Timer/Counter
5035,F_5035_I,5035,One Shot Timer 2,2,1,0,,Timer/Counter
5036,5036_I,5036,Counter 2,4,1,0,,Timer/Counter
5037,5037_I,5037,Counter,2,1,0,,Timer/Counter
5038,5038_I,5038,Counter,3,1,0,,Timer/Counter
5039,5039_I,5039,Counter,2,2,0,,Timer/Counter
503A,503A_I,503A,Counter,3,2,0,,Timer/Counter
210C,ABC2_TS,ABC2,Conversion from ASCII to binary(for HCNT),1,2,1,,Timer/Counter
20C8,ADI_TS,ADI,Analog Direct Input(for HCNT),1,1,2,,Timer/Counter
20C9,ADO_TS,ADO,Analog Direct Output(for HCNT),2,0,2,,Timer/Counter
2105,F_AIM_TS,AIM,Analog Input module(for HCNT),3,4,8,,Timer/Counter
4114,F_4114_I,AIM-CNT,Analog Input Module(Count deviation),3,5,12,,Timer/Counter
210D,F_AIM1_TS,AIM1,Analog Input module1-EU deviation(for HCNT),3,5,8,,Timer/Counter
210E,F_AIM2_TS,AIM2,Analog Input module2-Count deviation(for HCNT),3,5,8,,Timer/Counter
2106,F_AOM_TS,AOM,Analog Output module(for HCNT),3,1,4,,Timer/Counter
210B,BAC2_TS,BAC2,Conversion from binary to ASCII(for HCNT),1,2,1,,Timer/Counter
2109,CDR_TS,CDR,Conversion from device to register(for HCNT),16,1,0,,Timer/Counter
0040,CNT1_T,COUNT(1),CNT1 - Counter 1 (obs),2,1,1,x,Timer/Counter
0041,CNT2_T,COUNT(2),CNT2 - Counter 2 (obs),2,1,1,x,Timer/Counter
20FC,F_CPMH_TS,CPMH,Comparator (-)(for HCNT),1,1,2,,Timer/Counter
20FB,F_CPPH_TS,CPPH,Comparator (+)(for HCNT),1,1,2,,Timer/Counter
210A,CRD_TS,CRD,Conversion from register to device(for HCNT),1,16,0,,Timer/Counter
405E,F_DTM1_I,DEADTIME1,DEAD TIME - Pure Delay (without SW),1,1,3,,Timer/Counter
408B,F_DTM2_I,DEADTIME2,DEAD TIME - Pure Delay (SW:Upside),2,1,3,,Timer/Counter
408C,F_DTM3_I,DEADTIME3,DEAD TIME - Pure Delay (SW:Downside),2,1,3,,Timer/Counter
4013,DI_I,DI,DI - Delay Initiation (T:para / R:disp),1,1,2,,Timer/Counter
4103,F_4103_I,DI,Delay Initiation(Real number counter),1,1,2,,Timer/Counter
4143,DI_NT_I,DI,DI - Delay Initiation (T:para / R:disp)(NT),1,1,2,,Timer/Counter
407C,DI2_I,DI2,DI - Delay Initiation (T:input / R:disp),2,1,1,,Timer/Counter
407D,DI3_I,DI3,DI - Delay Initiation (T:para / R:output),1,2,2,,Timer/Counter
407E,DI4_I,DI4,DI - Delay Initiation (T:input / R:output),2,2,1,,Timer/Counter
4014,DIL_I,DIL,DIL - Delay Initiation (L) (T:para / R:disp),1,1,2,,Timer/Counter
4144,DIL_NT_I,DIL,DIL - Delay Initiation (L) (T:para / R:disp)(NT),1,1,2,,Timer/Counter
407F,DIL2_I,DIL2,DIL - Delay Initiation (L) (T:input / R:disp),2,1,1,,Timer/Counter
4080,DIL3_I,DIL3,DIL - Delay Initiation (L) (T:para / R:output),1,2,2,,Timer/Counter
4081,DIL4_I,DIL4,DIL - Delay Initiation (L) (T:input / R:output),2,2,1,,Timer/Counter
20FD,F_DLMH_TS,DLMH,Rate Limiter(for HCNT),2,1,2,,Timer/Counter
4015,DT_I,DT,DT - Delay Termination (T:para / R:disp),1,1,2,,Timer/Counter
4104,F_4104_I,DT,Delay Termination(Real number counter),1,1,2,,Timer/Counter
4145,DT_NT_I,DT,DT - Delay Termination (T:para / R:disp)(NT),1,1,2,,Timer/Counter
4082,DT2_I,DT2,DT - Delay Termination (T:input / R:disp),2,1,1,,Timer/Counter
4083,DT3_I,DT3,DT - Delay Termination (T:para / R:output),1,2,2,,Timer/Counter
4084,DT4_I,DT4,DT - Delay Termination (T:input / R:output),2,2,1,,Timer/Counter
20CA,ELOG_TS,ELOG,Error Log(for HCNT),3,0,0,,Timer/Counter
20F9,FFSH_TS,FFSH,Flip Flop(for HCNT),2,1,0,,Timer/Counter
2104,F_FLL_TS,FLL,Lower Limitter(for HCNT),1,2,1,,Timer/Counter
2110,F_FLL2_TS,FLL2,Lower Limitter2-External parameter(for HCNT),2,2,0,,Timer/Counter
2103,F_FUL_TS,FUL,Upper Limitter(for HCNT),1,2,1,,Timer/Counter
210F,F_FUL2_TS,FUL2,Upper Limitter2-External parameter(for HCNT),2,2,0,,Timer/Counter
20FE,F_IH_TS,IH,Integrator(for HCNT),3,1,3,,Timer/Counter
20F3,F_LCFI_TS,LCFI,Low Cycle Fatigue Index Calculation(for HCNT),4,6,10,,Timer/Counter
2117,F_LDLG_TS,LDLG,Lead lag(for HCNT),2,1,12,,Timer/Counter
2107,F_LLAG_TS,LLAG,Lead Lag(for HCNT),2,1,4,,Timer/Counter
1026,TONL_TS,LONG-TIMER,TONL - Long Timer (obs),1,1,1,x,Timer/Counter
1037,TONLC_TS,LONG-TIMER-CNT,TONL - Long Timer for Triple (obs),3,1,1,x,Timer/Counter
20CC,MCR0_TS,MCR0,User Macro0 ASM386(for HCNT),1,0,1,,Timer/Counter
20CD,MCR1_TS,MCR1,User Macro1 ASM386(for HCNT),1,0,2,,Timer/Counter
20CE,MCR2_TS,MCR2,User Macro2 ASM386(for HCNT),1,0,3,,Timer/Counter
20CF,MCR3_TS,MCR3,User Macro3 ASM386(for HCNT),1,0,4,,Timer/Counter
20D0,MCR4_TS,MCR4,User Macro4 ASM386(for HCNT),1,0,5,,Timer/Counter
20D1,MCR5_TS,MCR5,User Macro5 ASM386(for HCNT),1,0,6,,Timer/Counter
20D2,MCR6_TS,MCR6,User Macro6 ASM386(for HCNT),1,0,7,,Timer/Counter
20D3,MCR7_TS,MCR7,User Macro7 ASM386(for HCNT),1,0,8,,Timer/Counter
20D4,MCR8_TS,MCR8,User Macro8 ASM386(for HCNT),1,0,9,,Timer/Counter
20F4,F_MLS_TS,MLS,Method of Least Squares(for HCNT),2,9,2,,Timer/Counter
2116,F_NCFL_TS,NCFL,Notch filter(for HCNT),2,3,18,,Timer/Counter
1034,TOFC_TS,OFF-DELAY-CNT,<- - Off Delay Timer for Triple (obs),2,1,1,x,Timer/Counter
003B,TOF_T,OFF-DELAY-TIME,<- - Off Delay Timer (obs),1,1,1,x,Timer/Counter
1033,TONC_TS,ON-DELAY-CNT,-> - On Delay Timer for Triple (obs),2,1,1,x,Timer/Counter
003A,TON_T,ON-DELAY-TIME,-> - On Delay Timer (obs),1,1,1,x,Timer/Counter
1035,SSC1_TS,ONE-SHOT-CNT(1),SS1 - One Shot Timer for Triple 1 (obs),2,1,1,x,Timer/Counter
1036,SSC2_TS,ONE-SHOT-CNT(2),SS2 - One Shot Timer for Triple 2 (obs),2,1,1,x,Timer/Counter
003C,SS1_T,ONE-SHOT-TIME(1),SS1 - One Shot Timer 1 (obs),1,1,1,x,Timer/Counter
003D,SS2_T,ONE-SHOT-TIME(2),SS2 - One Shot Timer 2 (obs),1,1,1,x,Timer/Counter
2112,F_PLU_TS,PLU,Power Load Unbalance Detection(for HCNT),3,5,22,,Timer/Counter
4105,F_4105_I,PO,Pulse Output(Real number counter),1,1,2,,Timer/Counter
20CB,RESET_TS,RESET,Reset(for HCNT),1,0,0,,Timer/Counter
407A,F_SA_D_I,SAMP-D,Z^(-n) - Sampling Delay Gate,1,1,2,,Timer/Counter
20F7,F_S12H_TS,SS12H,One Shot Timer12(for HCNT),1,1,1,,Timer/Counter
20E3,F_SS1H_TS,SS1H,One Shot Timer1(for HCNT),1,1,1,,Timer/Counter
20F8,F_S22H_TS,SS22H,One Shot Timer22(for HCNT),1,1,1,,Timer/Counter
20E4,F_SS2H_TS,SS2H,One Shot Timer2(for HCNT),1,1,1,,Timer/Counter
209F,SSAT_TS,SSAT,SS - Single shot timer(1s or less) (obs),1,1,1,x,Timer/Counter
2113,F_STR_TS,STR,Setter(for HCNT),11,3,6,,Timer/Counter
4106,F_4106_I,TDWO,Pulse Output-Wipe Out(Real number counter),1,1,2,,Timer/Counter
20F2,F_THS_TS,THS,Thermal Stress(for HCNT),2,10,28,,Timer/Counter
209D,TOFAT_TS,TOFAT,TOF - Off delay timer (1s or less) (obs),1,1,1,x,Timer/Counter
20E2,F_TOFH_TS,TOFH,Off Delay Timer(for HCNT),1,1,1,,Timer/Counter
20F6,F_TFH2_TS,TOFH2,Off Delay Timer2(for HCNT),1,1,1,,Timer/Counter
209A,TONAT_TS,TONAT,TON - On delay timer (1s or less) (obs),1,1,1,x,Timer/Counter
20E1,F_TONH_TS,TONH,On Delay Timer(for HCNT),1,1,1,,Timer/Counter
20F5,F_TOH2_TS,TONH2,On Delay Timer2(for HCNT),1,1,1,,Timer/Counter
20E7,F_TS1H_TS,TS1H,One Shot Timer1(for HCNT),2,1,1,,Timer/Counter
20E8,F_TS2H_TS,TS2H,One Shot Timer2(for HCNT),2,1,1,,Timer/Counter
2108,F_TSET_TS,TSET,Time Set(for HCNT),2,1,1,,Timer/Counter
2115,F_TSO_TS,TSO,Turbine start optimization(for HCNT),12,4,10,,Timer/Counter
2114,F_TSP_TS,TSP,Thermal stress predict(for HCNT),10,10,38,,Timer/Counter
20E6,F_TTFH_TS,TTFH,Off Delay Timer(for HCNT),2,1,1,,Timer/Counter
20E5,F_TTNH_TS,TTNH,On Delay Timer(for HCNT),2,1,1,,Timer/Counter
803E,MC1_TG,,MDC-D PID - Mod Ctrl (Conventional PID) (obs),12,6,12,x,Toan hoc (Math)
8078,MC1A_TG,,MDC-D PID_ND - Mod Ctrl (PID_ND) (obs),12,6,15,x,Toan hoc (Math)
102F,23_TS,2OUT-OF-3,2/3 - Two Out of Three (obs),3,1,0,x,Toan hoc (Math)
503B,F_503B_I,503B,Addition - 2-input,2,1,1,,Toan hoc (Math)
503C,F_503C_I,503C,Addition - 2-input,3,1,1,,Toan hoc (Math)
503D,F_503D_I,503D,Addition - 3-input,3,1,2,,Toan hoc (Math)
503E,F_503E_I,503E,Addition - 3-input,4,1,2,,Toan hoc (Math)
503F,F_503F_I,503F,Addition - 4-input,4,1,3,,Toan hoc (Math)
5040,F_5040_I,5040,Addition - 4-input,5,1,3,,Toan hoc (Math)
5041,F_5041_I,5041,Addition - 5-input,5,1,4,,Toan hoc (Math)
5042,F_5042_I,5042,Addition - 5-input,6,1,4,,Toan hoc (Math)
5043,F_5043_I,5043,Addition - 6-input,6,1,5,,Toan hoc (Math)
5044,F_5044_I,5044,Addition - 6-input,7,1,5,,Toan hoc (Math)
5045,F_5045_I,5045,Addition - 7-input,7,1,6,,Toan hoc (Math)
5046,F_5046_I,5046,Addition - 7-input,8,1,6,,Toan hoc (Math)
5047,F_5047_I,5047,Addition - 8-input,8,1,7,,Toan hoc (Math)
5048,F_5048_I,5048,Addition - 8-input,9,1,7,,Toan hoc (Math)
5049,F_5049_I,5049,Addition - 2-input,2,1,0,,Toan hoc (Math)
504A,F_504A_I,504A,Subtraction - 2-input,2,1,0,,Toan hoc (Math)
504B,F_504B_I,504B,Multiplication - 2-input,2,1,0,,Toan hoc (Math)
504C,F_504C_I,504C,Multiplication - 2-input,3,1,0,,Toan hoc (Math)
504D,F_504D_I,504D,Multiplication - 3-input,3,1,0,,Toan hoc (Math)
504E,F_504E_I,504E,Multiplication - 3-input,4,1,0,,Toan hoc (Math)
504F,F_504F_I,504F,Multiplication - 4-input,4,1,0,,Toan hoc (Math)
5050,F_5050_I,5050,Multiplication - 4-input,5,1,0,,Toan hoc (Math)
5051,F_5051_I,5051,Multiplication - 5-input,5,1,0,,Toan hoc (Math)
5052,F_5052_I,5052,Multiplication - 5-input,6,1,0,,Toan hoc (Math)
5053,F_5053_I,5053,Multiplication - 6-input,6,1,0,,Toan hoc (Math)
5054,F_5054_I,5054,Multiplication - 6-input,7,1,0,,Toan hoc (Math)
5055,F_5055_I,5055,Multiplication - 7-input,7,1,0,,Toan hoc (Math)
5056,F_5056_I,5056,Multiplication - 7-input,8,1,0,,Toan hoc (Math)
5057,F_5057_I,5057,Multiplication - 8-input,8,1,0,,Toan hoc (Math)
5058,F_5058_I,5058,Multiplication - 8-input,9,1,0,,Toan hoc (Math)
5059,F_5059_I,5059,Division - 2-input,2,1,0,,Toan hoc (Math)
505A,F_505A_I,505A,Division - 2-input,3,1,0,,Toan hoc (Math)
505B,F_505B_I,505B,Division - 3-input,3,1,0,,Toan hoc (Math)
505C,F_505C_I,505C,Division - 3-input,4,1,0,,Toan hoc (Math)
505D,F_505D_I,505D,Division - 4-input,4,1,0,,Toan hoc (Math)
505E,F_505E_I,505E,Division - 4-input,5,1,0,,Toan hoc (Math)
505F,F_505F_I,505F,Division - 5-input,5,1,0,,Toan hoc (Math)
5060,F_5060_I,5060,Division - 5-input,6,1,0,,Toan hoc (Math)
5061,F_5061_I,5061,Division - 6-input,6,1,0,,Toan hoc (Math)
5062,F_5062_I,5062,Division - 6-input,7,1,0,,Toan hoc (Math)
5063,F_5063_I,5063,Division - 7-input,7,1,0,,Toan hoc (Math)
5064,F_5064_I,5064,Division - 7-input,8,1,0,,Toan hoc (Math)
5065,F_5065_I,5065,Division - 8-input,8,1,0,,Toan hoc (Math)
5066,F_5066_I,5066,Division - 8-input,9,1,0,,Toan hoc (Math)
5067,F_5067_I,5067,Multiplication with Gain,3,1,0,,Toan hoc (Math)
5068,F_5068_I,5068,Multiplication with Gain,4,1,0,,Toan hoc (Math)
5069,F_5069_I,5069,Division with Gain,3,1,0,,Toan hoc (Math)
506A,F_506A_I,506A,Division with Gain,4,1,0,,Toan hoc (Math)
507D,F_507D_I,507D,Integral,6,1,0,,Toan hoc (Math)
507E,F_507E_I,507E,Integral,2,1,0,,Toan hoc (Math)
507F,F_507F_I,507F,Integral,3,1,0,,Toan hoc (Math)
5092,F_5092_I,5092,Upper Limiter,2,1,0,,Toan hoc (Math)
5093,F_5093_I,5093,Upper Limiter,3,1,0,,Toan hoc (Math)
5094,F_5094_I,5094,Upper Limiter,2,2,0,,Toan hoc (Math)
5095,F_5095_I,5095,Upper Limiter,3,2,0,,Toan hoc (Math)
5096,F_5096_I,5096,Lower Limiter,2,1,0,,Toan hoc (Math)
5097,F_5097_I,5097,Lower Limiter,3,1,0,,Toan hoc (Math)
5098,F_5098_I,5098,Lower Limiter,2,2,0,,Toan hoc (Math)
5099,F_5099_I,5099,Lower Limiter,3,2,0,,Toan hoc (Math)
5118,F_5118_I,5118,Average - 2-input,2,1,0,,Toan hoc (Math)
5119,F_5119_I,5119,Average - 2-input,3,1,0,,Toan hoc (Math)
511A,F_511A_I,511A,Average - 3-input,3,1,0,,Toan hoc (Math)
511B,F_511B_I,511B,Average - 3-input,4,1,0,,Toan hoc (Math)
511C,F_511C_I,511C,Average - 4-input,4,1,0,,Toan hoc (Math)
511D,F_511D_I,511D,Average - 4-input,5,1,0,,Toan hoc (Math)
511E,F_511E_I,511E,Average - 5-input,5,1,0,,Toan hoc (Math)
511F,F_511F_I,511F,Average - 5-input,6,1,0,,Toan hoc (Math)
5120,F_5120_I,5120,Average - 6-input,6,1,0,,Toan hoc (Math)
5121,F_5121_I,5121,Average - 6-input,7,1,0,,Toan hoc (Math)
5122,F_5122_I,5122,Average - 7-input,7,1,0,,Toan hoc (Math)
5123,F_5123_I,5123,Average - 7-input,8,1,0,,Toan hoc (Math)
5124,F_5124_I,5124,Average - 8-input,8,1,0,,Toan hoc (Math)
5125,F_5125_I,5125,Average - 8-input,9,1,0,,Toan hoc (Math)
5126,F_5126_I,5126,Change Rate Limiter,4,1,0,,Toan hoc (Math)
5127,F_5127_I,5127,Change Rate Limiter,3,1,0,,Toan hoc (Math)
5128,F_5128_I,5128,Change Rate Limiter,4,1,0,,Toan hoc (Math)
5129,F_5129_I,5129,Change Rate Limiter,3,2,0,,Toan hoc (Math)
512A,F_512A_I,512A,Change Rate Limiter,4,2,0,,Toan hoc (Math)
512B,F_512B_I,512B,Function Generator - 6-points,1,1,12,,Toan hoc (Math)
512C,F_512C_I,512C,Function Generator - 6-points,2,1,12,,Toan hoc (Math)
512D,F_512D_I,512D,Function Generator,1,1,65,,Toan hoc (Math)
512E,F_512E_I,512E,Function Generator,2,1,65,,Toan hoc (Math)
0042,ADD_T,ADDITION,+ - Addition (obs),2,1,0,x,Toan hoc (Math)
401D,F_AVE1_I,AVE1,SUM/2 - Average of Two (in:Left & Downside),2,1,0,,Toan hoc (Math)
401E,F_AVE2_I,AVE2,SUM/2 - Average of Two (in:Left & Upside),2,1,0,,Toan hoc (Math)
401F,F_AVE3_I,AVE3,SUM/2 - Average of Two (in:Upside & Downside),2,1,0,,Toan hoc (Math)
4020,F_AVE4_I,AVE4,SUM/3 - Average of Three,3,1,0,,Toan hoc (Math)
20B9,F_CAV_TS,CAV,CAL CAV - Continuous Average (obs),3,2,1,x,Toan hoc (Math)
4070,F_DER1_I,DERIV1,d/dt - Derivative (L:para / SW:Upside),2,1,6,,Toan hoc (Math)
4071,F_DER2_I,DERIV2,d/dt - Derivative (L:para / SW:Downside),2,1,6,,Toan hoc (Math)
4072,F_DER3_I,DERIV3,d/dt - Derivative (L:para / without SW),1,1,6,,Toan hoc (Math)
408D,F_DER4_I,DERIV4,d/dt - Differential (L:input / SW:Upside),4,1,3,,Toan hoc (Math)
408E,F_DER5_I,DERIV5,d/dt - Differential (L:input / SW:Downside),4,1,3,,Toan hoc (Math)
408F,F_DER6_I,DERIV6,d/dt - Differential (L:input / without SW),3,1,3,,Toan hoc (Math)
0051,DLIM_T,DIFFERENTIAL(2),DLIM - Differential with Limiter (obs),2,1,4,x,Toan hoc (Math)
402A,F_DIV1_I,DIVID1,A/B - Dividing (A:Left / B:Downside),2,1,0,,Toan hoc (Math)
402B,F_DIV2_I,DIVID2,A/B - Dividing (A:Downside / B:Left),2,1,0,,Toan hoc (Math)
402C,F_DIV3_I,DIVID3,A/B - Dividing (A:Left / B:Upside),2,1,0,,Toan hoc (Math)
402D,F_DIV4_I,DIVID4,A/B - Dividing (A:Upside / B:Left),2,1,0,,Toan hoc (Math)
402E,F_DIV5_I,DIVID5,A/B - Dividing (A:Upside / B:Downside),2,1,0,,Toan hoc (Math)
402F,F_DIV6_I,DIVID6,A/B - Dividing (A:Downside / B:Upside),2,1,0,,Toan hoc (Math)
0046,DIV_T,DIVISION,/ - Division (obs),2,1,1,x,Toan hoc (Math)
004F,FNG_T,F(x),F(x) - Function Generator (obs),1,1,12,x,Toan hoc (Math)
1025,FF1_TS,FF-LH-OUT,FF1 - Flip Flop (Latch Type) (obs),2,1,0,x,Toan hoc (Math)
4011,FLIP1_I,FLIP1,F/F(R) - Flip Flop (Reset Priority),2,1,0,,Toan hoc (Math)
4141,FLIP1_NT_I,FLIP1,F/F(R) - Flip Flop (Reset Priority)(NT),2,1,0,,Toan hoc (Math)
4012,FLIP2_I,FLIP2,F/F(S) - Flip Flop (Set Priority),2,1,0,,Toan hoc (Math)
4142,FLIP2_NT_I,FLIP2,F/F(S) - Flip Flop (Set Priority)(NT),2,1,0,,Toan hoc (Math)
407B,FLIP3_I,FLIP3,F/F(R)(HWB) - Flip Flop (Reset Priority & HWB),2,1,0,,Toan hoc (Math)
40BB,40BB_I,FLIP4,F/F(S)(HWB) - Flip Flop (Set Priority & HWB),2,1,0,,Toan hoc (Math)
4035,FNG_I,FNG,F(x) - Function Generator (Parameter),1,1,35,,Toan hoc (Math)
1005,FNG_TS,FNG,FNG - Function Generator (obs),1,1,31,x,Toan hoc (Math)
209B,FNGAT_TS,FNGAT,49FNG - Function Generator (49 points) (obs),1,1,99,x,Toan hoc (Math)
1023,FFS_TS,Flip-Flop,FF/S - Flip Flop (Set Priority) (obs),2,1,0,x,Toan hoc (Math)
004C,HI_T,HIGH-LIMIT,>|H - Upper Limiter (obs),1,1,1,x,Toan hoc (Math)
4053,F_HIL1_I,HILIM1,|> - High Limiter (HL:para),1,1,3,,Toan hoc (Math)
4054,F_HIL2_I,HILIM2,|> - High Limiter (HL:input),2,1,1,,Toan hoc (Math)
410D,F_410D_I,HL-input,High Limiter(HL input with comparison output),2,2,1,,Toan hoc (Math)
410C,F_410C_I,HL-param,High Limiter(HL parameter with comparison output),1,2,3,,Toan hoc (Math)
406C,F_INL1_I,INTEGLIM1,I - Integral with Limit (L:para / SW:Upside),3,1,5,,Toan hoc (Math)
406D,F_INL2_I,INTEGLIM2,I - Integral with Limit (L:para / SW:Downside),3,1,5,,Toan hoc (Math)
406E,F_INL3_I,INTEGLIM3,I - Integral with Limit (L:input / SW:Upside),5,1,2,,Toan hoc (Math)
406F,F_INL4_I,INTEGLIM4,I - Integral with Limit (L:input / SW:Downside),5,1,2,,Toan hoc (Math)
0053,I_T,INTEGRAL,I - Integral (obs),3,1,3,x,Toan hoc (Math)
410B,F_410B_I,LDLG,Lead/Lag(with velocity limit),2,1,15,,Toan hoc (Math)
410F,F_410F_I,LL-input,Low Limiter(LL input with comparison output),2,2,1,,Toan hoc (Math)
410E,F_410E_I,LL-param,Low Limiter(LL parameter with comparison output),1,2,3,,Toan hoc (Math)
1016,LLG_TS,LLG,LLG - Lead/Lag (No Upper/Lower Limit) (obs),2,1,2,x,Toan hoc (Math)
100E,LMI_TS,LMI,LMI - Integral with Limiter (obs),3,1,2,x,Toan hoc (Math)
004D,LOW_T,LOW-LIMIT,<|L - Lower Limiter (obs),1,1,1,x,Toan hoc (Math)
4055,F_LOL1_I,LOWLIM1,<| - Low Limiter (LL:para),1,1,3,,Toan hoc (Math)
4056,F_LOL2_I,LOWLIM2,<| - Low Limiter (LL:input),2,1,1,,Toan hoc (Math)
20B6,F_LWA_TS,LWA,CAL LWA - Load Weighted Average (obs),6,2,0,x,Toan hoc (Math)
20B8,F_LWI_TS,LWI,CAL LWI - Load Weighted Integration (obs),6,2,1,x,Toan hoc (Math)
4027,F_MUL1_I,MULTI1,* - Multiplying (in:Left & Downside),2,1,0,,Toan hoc (Math)
4028,F_MUL2_I,MULTI2,* - Multiplying (in:Left & Upside),2,1,0,,Toan hoc (Math)
4029,F_MUL3_I,MULTI3,* - Multiplying (in:Upside & Downside),2,1,0,,Toan hoc (Math)
0045,MLT_T,MULTIPLICATION,* - Multiplication (obs),2,1,1,x,Toan hoc (Math)
820F,MVFP_TG,MV-FF-POS,MV-FF-POS - MV Station with FF & POS,18,6,17,,Toan hoc (Math)
8305,8305_TG,MV-FF-POS-CI,MV Station with FF&POS(Change Inhibit),20,6,17,,Toan hoc (Math)
0055,PID_T,PID,PID - Position PID (obs),3,1,5,x,Toan hoc (Math)
